request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_250,17762.28,affordable_with_plan,partial_payment,2024-12-06:17762.28|2025-01-15:106515.72,2025-01-15,none,partial payment keeps at least ZAR 35300 available.
request_251,1513.60,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the EUR 1300 minimum protected.
request_252,6092159.63,affordable_later,wait,2026-08-15:28082000,2026-08-15,none,wait keeps at least IDR 15152200 available.
request_253,1960.96,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-22,none,installments keeps at least EUR 2300 available.
request_254,824.45,affordable_later,wait,2025-09-15:3535.20,2025-09-15,none,wait keeps at least USD 2500 available.
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,full payment keeps at least IDR 9813900 available.
request_256,166646.39,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-08-11,none,installments keeps at least INR 168600 available.
request_257,546.69,affordable_later,wait,2025-12-15:1352.40,2025-12-15,none,wait keeps at least USD 1600 available.
request_258,1113.60,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,full payment keeps at least USD 500 available.
request_259,246.42,affordable_later,wait,2024-10-15:935,2024-10-15,none,wait keeps at least EUR 600 available.
request_260,9796636.24,affordable_with_plan,partial_payment,2025-02-06:9796636.24|2025-04-15:42282363.76,2025-04-15,none,partial payment keeps at least IDR 20727700 available.
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,full payment keeps at least EUR 1500 available.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,full payment keeps at least IDR 31018500 available.
request_263,8856.40,affordable_later,wait,2025-06-15:51546,2025-06-15,none,wait keeps at least ZAR 24100 available.
request_264,31398.34,affordable_later,wait,2026-05-15:111300,2026-05-15,none,wait keeps at least INR 59500 available.
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,full payment keeps at least INR 189700 available.
request_266,839.38,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-09-28,none,installments keeps at least EUR 900 available.
request_267,1815.71,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-03-09,none,installments keeps at least EUR 1500 available.
request_268,1134.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-08-15,none,installments keeps at least EUR 1400 available.
request_269,0,not_affordable,not_recommended,none,,none,Do not proceed: no available plan keeps the ZAR 23100 minimum protected.
request_270,206.70,not_affordable,not_recommended,none,,none,Do not proceed: the proposed plan failed deterministic safety validation.
request_271,29719.90,affordable_later,wait,2024-10-15:91300,2024-10-15,none,wait keeps at least INR 58200 available.
request_272,6128654.63,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-04-09,none,installments keeps at least IDR 7508600 available.
request_273,10756514.78,affordable_with_plan,installments,2026-04-07:5498480|2026-05-05:5498480|2026-06-02:5498480,2026-06-02,none,installments keeps at least IDR 18774600 available.
request_274,2554.90,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2025-02-04,none,installments keeps at least EUR 1800 available.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,full payment keeps at least IDR 12760100 available.
